Id,date,tournament
M000060_Northern Ireland,1888-03-24,British Home Championship
M000060_Scotland,1888-03-24,British Home Championship
M000061_England,1888-04-07,British Home Championship
M000061_Northern Ireland,1888-04-07,British Home Championship
M000062_Canada,1888-09-19,Friendly
M000062_Scotland,1888-09-19,Friendly
M000063_England,1889-02-23,British Home Championship
M000063_Wales,1889-02-23,British Home Championship
M000064_England,1889-03-02,British Home Championship
M000064_Northern Ireland,1889-03-02,British Home Championship
M000065_Northern Ireland,1889-03-09,British Home Championship
M000065_Scotland,1889-03-09,British Home Championship
M000066_England,1889-04-13,British Home Championship
M000066_Scotland,1889-04-13,British Home Championship
M000067_Scotland,1889-04-15,British Home Championship
M000067_Wales,1889-04-15,British Home Championship
M000068_Northern Ireland,1889-04-27,British Home Championship
M000068_Wales,1889-04-27,British Home Championship
M000069_Northern Ireland,1890-02-08,British Home Championship
M000069_Wales,1890-02-08,British Home Championship
M000070_England,1890-03-15,British Home Championship
M000070_Northern Ireland,1890-03-15,British Home Championship
M000071_England,1890-03-15,British Home Championship
M000071_Wales,1890-03-15,British Home Championship
M000072_Scotland,1890-03-22,British Home Championship
M000072_Wales,1890-03-22,British Home Championship
M000073_Northern Ireland,1890-03-29,British Home Championship
M000073_Scotland,1890-03-29,British Home Championship
M000074_England,1890-04-05,British Home Championship
M000074_Scotland,1890-04-05,British Home Championship
M000075_Northern Ireland,1891-02-07,British Home Championship
M000075_Wales,1891-02-07,British Home Championship
M000076_England,1891-03-07,British Home Championship
M000076_Wales,1891-03-07,British Home Championship
M000077_England,1891-03-07,British Home Championship
M000077_Northern Ireland,1891-03-07,British Home Championship
M000078_Scotland,1891-03-21,British Home Championship
M000078_Wales,1891-03-21,British Home Championship
M000079_Northern Ireland,1891-03-28,British Home Championship
M000079_Scotland,1891-03-28,British Home Championship
M000080_England,1891-04-04,British Home Championship
M000080_Scotland,1891-04-04,British Home Championship
M000081_Northern Ireland,1892-02-27,British Home Championship
M000081_Wales,1892-02-27,British Home Championship
M000082_England,1892-03-05,British Home Championship
M000082_Northern Ireland,1892-03-05,British Home Championship
M000083_England,1892-03-05,British Home Championship
M000083_Wales,1892-03-05,British Home Championship
M000084_Northern Ireland,1892-03-19,British Home Championship
M000084_Scotland,1892-03-19,British Home Championship
M000085_Scotland,1892-03-26,British Home Championship
M000085_Wales,1892-03-26,British Home Championship
M000086_England,1892-04-02,British Home Championship
M000086_Scotland,1892-04-02,British Home Championship
M000087_England,1893-02-25,British Home Championship
M000087_Northern Ireland,1893-02-25,British Home Championship
M000088_England,1893-03-13,British Home Championship
M000088_Wales,1893-03-13,British Home Championship
M000089_Scotland,1893-03-18,British Home Championship
M000089_Wales,1893-03-18,British Home Championship
M000090_Northern Ireland,1893-03-25,British Home Championship
M000090_Scotland,1893-03-25,British Home Championship
M000091_England,1893-04-01,British Home Championship
M000091_Scotland,1893-04-01,British Home Championship
M000092_Northern Ireland,1894-02-24,British Home Championship
M000092_Wales,1894-02-24,British Home Championship
M000093_England,1894-03-03,British Home Championship
M000093_Northern Ireland,1894-03-03,British Home Championship
M000094_England,1894-03-12,British Home Championship
M000094_Wales,1894-03-12,British Home Championship
M000095_Scotland,1894-03-24,British Home Championship
M000095_Wales,1894-03-24,British Home Championship
M000096_Northern Ireland,1894-03-31,British Home Championship
M000096_Scotland,1894-03-31,British Home Championship
M000097_England,1894-04-07,British Home Championship
M000097_Scotland,1894-04-07,British Home Championship
M000098_England,1895-03-09,British Home Championship
M000098_Northern Ireland,1895-03-09,British Home Championship
M000099_Northern Ireland,1895-03-16,British Home Championship
M000099_Wales,1895-03-16,British Home Championship
M000100_England,1895-03-18,British Home Championship
M000100_Wales,1895-03-18,British Home Championship
M000101_Scotland,1895-03-23,British Home Championship
M000101_Wales,1895-03-23,British Home Championship
M000102_Northern Ireland,1895-03-30,British Home Championship
M000102_Scotland,1895-03-30,British Home Championship
M000103_England,1895-04-06,British Home Championship
M000103_Scotland,1895-04-06,British Home Championship
M000104_Northern Ireland,1896-02-29,British Home Championship
M000104_Wales,1896-02-29,British Home Championship
M000105_England,1896-03-07,British Home Championship
M000105_Northern Ireland,1896-03-07,British Home Championship
M000106_England,1896-03-16,British Home Championship
M000106_Wales,1896-03-16,British Home Championship
M000107_Scotland,1896-03-21,British Home Championship
M000107_Wales,1896-03-21,British Home Championship
M000108_Northern Ireland,1896-03-28,British Home Championship
M000108_Scotland,1896-03-28,British Home Championship
M000109_England,1896-04-04,British Home Championship
M000109_Scotland,1896-04-04,British Home Championship
M000110_England,1897-02-20,British Home Championship
M000110_Northern Ireland,1897-02-20,British Home Championship
M000111_Northern Ireland,1897-03-06,British Home Championship
M000111_Wales,1897-03-06,British Home Championship
M000112_Scotland,1897-03-20,British Home Championship
M000112_Wales,1897-03-20,British Home Championship
M000113_Northern Ireland,1897-03-27,British Home Championship
M000113_Scotland,1897-03-27,British Home Championship
M000114_England,1897-03-29,British Home Championship
M000114_Wales,1897-03-29,British Home Championship
M000115_England,1897-04-03,British Home Championship
M000115_Scotland,1897-04-03,British Home Championship
M000116_Northern Ireland,1898-02-19,British Home Championship
M000116_Wales,1898-02-19,British Home Championship
M000117_England,1898-03-05,British Home Championship
M000117_Northern Ireland,1898-03-05,British Home Championship
M000118_Scotland,1898-03-19,British Home Championship
M000118_Wales,1898-03-19,British Home Championship
M000119_Northern Ireland,1898-03-26,British Home Championship
M000119_Scotland,1898-03-26,British Home Championship
M000120_England,1898-03-28,British Home Championship
M000120_Wales,1898-03-28,British Home Championship
M000121_England,1898-04-02,British Home Championship
M000121_Scotland,1898-04-02,British Home Championship
M000122_England,1899-02-18,British Home Championship
M000122_Northern Ireland,1899-02-18,British Home Championship
M000123_Northern Ireland,1899-03-04,British Home Championship
M000123_Wales,1899-03-04,British Home Championship
M000124_Scotland,1899-03-18,British Home Championship
M000124_Wales,1899-03-18,British Home Championship
M000125_England,1899-03-20,British Home Championship
M000125_Wales,1899-03-20,British Home Championship
M000126_Northern Ireland,1899-03-25,British Home Championship
M000126_Scotland,1899-03-25,British Home Championship
M000127_England,1899-04-08,British Home Championship
M000127_Scotland,1899-04-08,British Home Championship
M000128_Scotland,1900-02-03,British Home Championship
M000128_Wales,1900-02-03,British Home Championship
M000129_Northern Ireland,1900-02-24,British Home Championship
M000129_Wales,1900-02-24,British Home Championship
M000130_Northern Ireland,1900-03-03,British Home Championship
M000130_Scotland,1900-03-03,British Home Championship
M000131_England,1900-03-17,British Home Championship
M000131_Northern Ireland,1900-03-17,British Home Championship
M000132_England,1900-03-26,British Home Championship
M000132_Wales,1900-03-26,British Home Championship
M000133_England,1900-04-07,British Home Championship
M000133_Scotland,1900-04-07,British Home Championship
M000134_Northern Ireland,1901-02-23,British Home Championship
M000134_Scotland,1901-02-23,British Home Championship
M000135_Scotland,1901-03-02,British Home Championship
M000135_Wales,1901-03-02,British Home Championship
M000136_England,1901-03-09,British Home Championship
M000136_Northern Ireland,1901-03-09,British Home Championship
M000137_England,1901-03-18,British Home Championship
M000137_Wales,1901-03-18,British Home Championship
M000138_Northern Ireland,1901-03-23,British Home Championship
M000138_Wales,1901-03-23,British Home Championship
M000139_England,1901-03-30,British Home Championship
M000139_Scotland,1901-03-30,British Home Championship
M000140_Northern Ireland,1902-02-22,British Home Championship
M000140_Wales,1902-02-22,British Home Championship
M000141_Northern Ireland,1902-03-01,British Home Championship
M000141_Scotland,1902-03-01,British Home Championship
M000142_England,1902-03-03,British Home Championship
M000142_Wales,1902-03-03,British Home Championship
M000143_Scotland,1902-03-15,British Home Championship
M000143_Wales,1902-03-15,British Home Championship
M000144_England,1902-03-22,British Home Championship
M000144_Northern Ireland,1902-03-22,British Home Championship
M000145_England,1902-05-03,British Home Championship
M000145_Scotland,1902-05-03,British Home Championship
M000146_Argentina,1902-07-20,Friendly
M000146_Uruguay,1902-07-20,Friendly
M000147_Austria,1902-10-12,Friendly
M000147_Hungary,1902-10-12,Friendly
M000148_England,1903-02-14,British Home Championship
M000148_Northern Ireland,1903-02-14,British Home Championship
M000149_England,1903-03-02,British Home Championship
M000149_Wales,1903-03-02,British Home Championship
M000150_Scotland,1903-03-09,British Home Championship
M000150_Wales,1903-03-09,British Home Championship
M000151_Northern Ireland,1903-03-21,British Home Championship
M000151_Scotland,1903-03-21,British Home Championship
M000152_Northern Ireland,1903-03-28,British Home Championship
M000152_Wales,1903-03-28,British Home Championship
M000153_England,1903-04-04,British Home Championship
M000153_Scotland,1903-04-04,British Home Championship
M000154_Czechoslovakia,1903-04-05,Friendly
M000154_Hungary,1903-04-05,Friendly
M000155_Austria,1903-06-11,Friendly
M000155_Hungary,1903-06-11,Friendly
M000156_Argentina,1903-09-13,Friendly
M000156_Uruguay,1903-09-13,Friendly
M000157_Austria,1903-10-11,Friendly
M000157_Hungary,1903-10-11,Friendly
M000158_England,1904-02-29,British Home Championship
M000158_Wales,1904-02-29,British Home Championship
M000159_England,1904-03-12,British Home Championship
M000159_Northern Ireland,1904-03-12,British Home Championship
M000160_Scotland,1904-03-12,British Home Championship
M000160_Wales,1904-03-12,British Home Championship
M000161_Northern Ireland,1904-03-21,British Home Championship
M000161_Wales,1904-03-21,British Home Championship
M000162_Northern Ireland,1904-03-26,British Home Championship
M000162_Scotland,1904-03-26,British Home Championship
M000163_England,1904-04-09,British Home Championship
M000163_Scotland,1904-04-09,British Home Championship
M000164_Belgium,1904-05-01,Évence Coppée Trophy
M000164_France,1904-05-01,Évence Coppée Trophy
M000165_Austria,1904-06-02,Friendly
M000165_Hungary,1904-06-02,Friendly
M000166_Austria,1904-10-09,Friendly
M000166_Hungary,1904-10-09,Friendly
M000167_France,1905-02-12,Friendly
M000167_Switzerland,1905-02-12,Friendly
M000168_England,1905-02-25,British Home Championship
M000168_Northern Ireland,1905-02-25,British Home Championship
M000169_Scotland,1905-03-06,British Home Championship
M000169_Wales,1905-03-06,British Home Championship
M000170_Northern Ireland,1905-03-18,British Home Championship
M000170_Scotland,1905-03-18,British Home Championship
M000171_England,1905-03-27,British Home Championship
M000171_Wales,1905-03-27,British Home Championship
M000172_England,1905-04-01,British Home Championship
M000172_Scotland,1905-04-01,British Home Championship
M000173_Northern Ireland,1905-04-08,British Home Championship
M000173_Wales,1905-04-08,British Home Championship
M000174_Austria,1905-04-09,Friendly
M000174_Hungary,1905-04-09,Friendly
M000175_Alderney,1905-04-17,Muratti Vase
M000175_Guernsey,1905-04-17,Muratti Vase
M000176_Guernsey,1905-04-27,Muratti Vase
M000176_Jersey,1905-04-27,Muratti Vase
M000177_Belgium,1905-04-30,Friendly
M000177_Netherlands,1905-04-30,Friendly
M000178_Belgium,1905-05-07,Friendly
M000178_France,1905-05-07,Friendly
M000179_Belgium,1905-05-14,Friendly
M000179_Netherlands,1905-05-14,Friendly
M000180_Guyana,1905-07-21,Friendly
M000180_Trinidad and Tobago,1905-07-21,Friendly
M000181_Argentina,1905-08-15,Copa Lipton
M000181_Uruguay,1905-08-15,Copa Lipton
M000182_England,1906-02-17,British Home Championship
M000182_Northern Ireland,1906-02-17,British Home Championship
M000183_Scotland,1906-03-03,British Home Championship
M000183_Wales,1906-03-03,British Home Championship
M000184_Northern Ireland,1906-03-17,British Home Championship
M000184_Scotland,1906-03-17,British Home Championship
M000185_England,1906-03-19,British Home Championship
M000185_Wales,1906-03-19,British Home Championship
M000186_Guernsey,1906-03-29,Muratti Vase
M000186_Jersey,1906-03-29,Muratti Vase
M000187_Czechoslovakia,1906-04-01,Friendly
M000187_Hungary,1906-04-01,Friendly
M000188_Northern Ireland,1906-04-02,British Home Championship
M000188_Wales,1906-04-02,British Home Championship
M000189_Alderney,1906-04-02,Muratti Vase
M000189_Guernsey,1906-04-02,Muratti Vase
M000190_England,1906-04-07,British Home Championship
M000190_Scotland,1906-04-07,British Home Championship
M000191_Belgium,1906-04-22,Friendly
M000191_France,1906-04-22,Friendly
M000192_Belgium,1906-04-29,Friendly
M000192_Netherlands,1906-04-29,Friendly
M000193_Belgium,1906-05-13,Friendly
M000193_Netherlands,1906-05-13,Friendly
M000194_Argentina,1906-08-15,Copa Lipton
M000194_Uruguay,1906-08-15,Copa Lipton
M000195_Czechoslovakia,1906-10-07,Friendly
M000195_Hungary,1906-10-07,Friendly
M000196_Argentina,1906-10-21,Copa Newton
M000196_Uruguay,1906-10-21,Copa Newton
M000197_Austria,1906-11-04,Friendly
M000197_Hungary,1906-11-04,Friendly
M000198_England,1907-02-16,British Home Championship
M000198_Northern Ireland,1907-02-16,British Home Championship
M000199_Northern Ireland,1907-02-23,British Home Championship
M000199_Wales,1907-02-23,British Home Championship
M000200_Scotland,1907-03-04,British Home Championship
M000200_Wales,1907-03-04,British Home Championship
M000201_Northern Ireland,1907-03-16,British Home Championship
M000201_Scotland,1907-03-16,British Home Championship
M000202_England,1907-03-18,British Home Championship
M000202_Wales,1907-03-18,British Home Championship
M000203_Alderney,1907-03-21,Muratti Vase
M000203_Jersey,1907-03-21,Muratti Vase
M000204_Guernsey,1907-04-04,Muratti Vase
M000204_Jersey,1907-04-04,Muratti Vase
M000205_England,1907-04-06,British Home Championship
M000205_Scotland,1907-04-06,British Home Championship
M000206_Czechoslovakia,1907-04-07,Friendly
M000206_Hungary,1907-04-07,Friendly
M000207_Belgium,1907-04-14,Friendly
M000207_Netherlands,1907-04-14,Friendly
M000208_Belgium,1907-04-21,Friendly
M000208_France,1907-04-21,Friendly
M000209_Austria,1907-05-05,Friendly
M000209_Hungary,1907-05-05,Friendly
M000210_Belgium,1907-05-09,Friendly
M000210_Netherlands,1907-05-09,Friendly
M000211_Czechoslovakia,1907-10-06,Friendly
M000211_Hungary,1907-10-06,Friendly
M000212_Austria,1907-11-03,Friendly
M000212_Hungary,1907-11-03,Friendly
M000213_England,1908-02-15,British Home Championship
M000213_Northern Ireland,1908-02-15,British Home Championship
M000214_Scotland,1908-03-07,British Home Championship
M000214_Wales,1908-03-07,British Home Championship
M000215_France,1908-03-08,Friendly
M000215_Switzerland,1908-03-08,Friendly
M000216_Northern Ireland,1908-03-14,British Home Championship
M000216_Scotland,1908-03-14,British Home Championship
M000217_England,1908-03-16,British Home Championship
M000217_Wales,1908-03-16,British Home Championship
M000218_Belgium,1908-03-29,Friendly
M000218_Netherlands,1908-03-29,Friendly
M000219_Alderney,1908-04-02,Muratti Vase
M000219_Guernsey,1908-04-02,Muratti Vase
M000220_England,1908-04-04,British Home Championship
M000220_Scotland,1908-04-04,British Home Championship
M000221_Germany,1908-04-05,Friendly
M000221_Switzerland,1908-04-05,Friendly
M000222_Czechoslovakia,1908-04-05,Friendly
M000222_Hungary,1908-04-05,Friendly
M000223_Guernsey,1908-04-09,Muratti Vase
M000223_Jersey,1908-04-09,Muratti Vase
M000224_Northern Ireland,1908-04-11,British Home Championship
M000224_Wales,1908-04-11,British Home Championship
M000225_Belgium,1908-04-12,Friendly
M000225_France,1908-04-12,Friendly
M000226_Belgium,1908-04-26,Friendly
M000226_Netherlands,1908-04-26,Friendly
M000227_Austria,1908-05-03,Friendly
M000227_Hungary,1908-05-03,Friendly
M000228_France,1908-05-10,Friendly
M000228_Netherlands,1908-05-10,Friendly
M000229_Austria,1908-06-06,Friendly
M000229_England,1908-06-06,Friendly
M000230_Austria,1908-06-07,Friendly
M000230_Germany,1908-06-07,Friendly
M000231_Austria,1908-06-08,Friendly
M000231_England,1908-06-08,Friendly
M000232_England,1908-06-10,Friendly
M000232_Hungary,1908-06-10,Friendly
M000233_Czechoslovakia,1908-06-13,Friendly
M000233_England,1908-06-13,Friendly
M000234_Norway,1908-07-12,Friendly
M000234_Sweden,1908-07-12,Friendly
M000235_Argentina,1908-08-15,Copa Lipton
M000235_Uruguay,1908-08-15,Copa Lipton
M000236_Argentina,1908-09-13,Copa Newton
M000236_Uruguay,1908-09-13,Copa Newton
M000237_Argentina,1908-10-04,Copa Premio Honor Argentino
M000237_Uruguay,1908-10-04,Copa Premio Honor Argentino
M000238_Denmark,1908-10-22,Olympic Games
M000238_France,1908-10-22,Olympic Games
M000239_Netherlands,1908-10-23,Olympic Games
M000239_Sweden,1908-10-23,Olympic Games
M000240_Netherlands,1908-10-25,Friendly
M000240_Sweden,1908-10-25,Friendly
M000241_Belgium,1908-10-26,Friendly
M000241_Sweden,1908-10-26,Friendly
M000242_Austria,1908-11-01,Friendly
M000242_Hungary,1908-11-01,Friendly
M000243_England,1909-02-13,British Home Championship
M000243_Northern Ireland,1909-02-13,British Home Championship
M000244_Scotland,1909-03-01,British Home Championship
M000244_Wales,1909-03-01,British Home Championship
M000245_England,1909-03-15,British Home Championship
M000245_Wales,1909-03-15,British Home Championship
M000246_Northern Ireland,1909-03-15,British Home Championship
M000246_Scotland,1909-03-15,British Home Championship
M000247_Guernsey,1909-03-18,Muratti Vase
M000247_Jersey,1909-03-18,Muratti Vase
M000248_Northern Ireland,1909-03-20,British Home Championship
M000248_Wales,1909-03-20,British Home Championship
M000249_Belgium,1909-03-21,Friendly
M000249_Netherlands,1909-03-21,Friendly
M000250_Alderney,1909-03-25,Muratti Vase
M000250_Guernsey,1909-03-25,Muratti Vase
M000251_England,1909-04-03,British Home Championship
M000251_Scotland,1909-04-03,British Home Championship
M000252_Germany,1909-04-04,Friendly
M000252_Switzerland,1909-04-04,Friendly
M000253_Germany,1909-04-04,Friendly
M000253_Hungary,1909-04-04,Friendly
M000254_Belgium,1909-04-25,Friendly
M000254_Netherlands,1909-04-25,Friendly
M000255_Austria,1909-05-02,Friendly
M000255_Hungary,1909-05-02,Friendly
M000256_Belgium,1909-05-09,Friendly
M000256_France,1909-05-09,Friendly
M000257_England,1909-05-29,Friendly
M000257_Hungary,1909-05-29,Friendly
M000258_Austria,1909-05-30,Friendly
M000258_Hungary,1909-05-30,Friendly
M000259_England,1909-05-31,Friendly
M000259_Hungary,1909-05-31,Friendly
M000260_Austria,1909-06-01,Friendly
M000260_England,1909-06-01,Friendly
M000261_Argentina,1909-08-15,Copa Lipton
M000261_Uruguay,1909-08-15,Copa Lipton
M000262_Argentina,1909-09-19,Copa Newton
M000262_Uruguay,1909-09-19,Copa Newton
M000263_Argentina,1909-10-10,Copa Premio Honor Argentino
M000263_Uruguay,1909-10-10,Copa Premio Honor Argentino
M000264_Austria,1909-11-07,Friendly
M000264_Hungary,1909-11-07,Friendly
M000265_England,1910-02-12,British Home Championship
M000265_Northern Ireland,1910-02-12,British Home Championship
M000266_Scotland,1910-03-05,British Home Championship
M000266_Wales,1910-03-05,British Home Championship
M000267_Belgium,1910-03-13,Friendly
M000267_Netherlands,1910-03-13,Friendly
M000268_England,1910-03-14,British Home Championship
M000268_Wales,1910-03-14,British Home Championship
M000269_Northern Ireland,1910-03-19,British Home Championship
M000269_Scotland,1910-03-19,British Home Championship
M000270_England,1910-04-02,British Home Championship
M000270_Scotland,1910-04-02,British Home Championship
M000271_Germany,1910-04-03,Friendly
M000271_Switzerland,1910-04-03,Friendly
M000272_Belgium,1910-04-03,Friendly
M000272_France,1910-04-03,Friendly
M000273_Alderney,1910-04-07,Muratti Vase
M000273_Jersey,1910-04-07,Muratti Vase
M000274_Belgium,1910-04-10,Friendly
M000274_Netherlands,1910-04-10,Friendly
M000275_Northern Ireland,1910-04-11,British Home Championship
M000275_Wales,1910-04-11,British Home Championship
M000276_Guernsey,1910-04-21,Muratti Vase
M000276_Jersey,1910-04-21,Muratti Vase
M000277_Germany,1910-04-24,Friendly
M000277_Netherlands,1910-04-24,Friendly
M000278_Austria,1910-05-01,Friendly
M000278_Hungary,1910-05-01,Friendly
M000279_France,1910-05-15,Friendly
M000279_Italy,1910-05-15,Friendly
M000280_Belgium,1910-05-16,Friendly
M000280_Germany,1910-05-16,Friendly
M000281_Hungary,1910-05-26,Friendly
M000281_Italy,1910-05-26,Friendly
M000282_Argentina,1910-05-27,Friendly
M000282_Chile,1910-05-27,Friendly
M000283_Chile,1910-05-29,Friendly
M000283_Uruguay,1910-05-29,Friendly
M000284_Argentina,1910-06-05,Friendly
M000284_Chile,1910-06-05,Friendly
M000285_Argentina,1910-06-12,Friendly
M000285_Uruguay,1910-06-12,Friendly
M000286_Argentina,1910-08-15,Copa Lipton
M000286_Uruguay,1910-08-15,Copa Lipton
M000287_Norway,1910-09-11,Friendly
M000287_Sweden,1910-09-11,Friendly
M000288_Argentina,1910-09-11,Friendly
M000288_Chile,1910-09-11,Friendly
M000289_Germany,1910-10-16,Friendly
M000289_Netherlands,1910-10-16,Friendly
M000290_Czechoslovakia,1910-10-16,Friendly
M000290_Russia,1910-10-16,Friendly
M000291_Czechoslovakia,1910-10-23,Friendly
M000291_Russia,1910-10-23,Friendly
M000292_Austria,1910-11-06,Friendly
M000292_Hungary,1910-11-06,Friendly
M000293_Argentina,1910-11-13,Copa Premio Honor Argentino
M000293_Uruguay,1910-11-13,Copa Premio Honor Argentino
M000294_Argentina,1910-11-27,Copa Premio Honor Argentino
M000294_Uruguay,1910-11-27,Copa Premio Honor Argentino
M000295_France,1911-01-01,Friendly
M000295_Hungary,1911-01-01,Friendly
M000296_Hungary,1911-01-06,Friendly
M000296_Italy,1911-01-06,Friendly
M000297_Hungary,1911-01-08,Friendly
M000297_Switzerland,1911-01-08,Friendly
M000298_Northern Ireland,1911-01-28,British Home Championship
M000298_Wales,1911-01-28,British Home Championship
M000299_England,1911-02-11,British Home Championship
M000299_Northern Ireland,1911-02-11,British Home Championship
M000300_Scotland,1911-03-06,British Home Championship
M000300_Wales,1911-03-06,British Home Championship
M000301_England,1911-03-13,British Home Championship
M000301_Wales,1911-03-13,British Home Championship
M000302_Northern Ireland,1911-03-18,British Home Championship
M000302_Scotland,1911-03-18,British Home Championship
M000303_Belgium,1911-03-19,Friendly
M000303_Netherlands,1911-03-19,Friendly
M000304_Germany,1911-03-26,Friendly
M000304_Switzerland,1911-03-26,Friendly
M000305_England,1911-04-01,British Home Championship
M000305_Scotland,1911-04-01,British Home Championship
M000306_Belgium,1911-04-02,Friendly
M000306_Netherlands,1911-04-02,Friendly
M000307_France,1911-04-09,Friendly
M000307_Italy,1911-04-09,Friendly
M000308_Alderney,1911-04-20,Muratti Vase
M000308_Guernsey,1911-04-20,Muratti Vase
M000309_Belgium,1911-04-23,Friendly
M000309_Germany,1911-04-23,Friendly
M000310_France,1911-04-23,Friendly
M000310_Switzerland,1911-04-23,Friendly
M000311_Guernsey,1911-04-27,Muratti Vase
M000311_Jersey,1911-04-27,Muratti Vase
M000312_Belgium,1911-04-30,Friendly
M000312_France,1911-04-30,Friendly
M000313_Italy,1911-05-07,Friendly
M000313_Switzerland,1911-05-07,Friendly
M000314_Austria,1911-05-07,Friendly
M000314_Hungary,1911-05-07,Friendly
M000315_Italy,1911-05-21,Friendly
M000315_Switzerland,1911-05-21,Friendly
M000316_Germany,1911-06-18,Friendly
